제목,분류,동영상 길이,동영상 타입,조회수,좋아요 수,댓글 수,Disabled,en,unk,vi,de,es,it,id,pt,fr,ar,th,ja,zh-TW,ko,ru,fa,zh-CN,hi
Irama - Ovunque Sarai (Official Video) [Sanremo 2022], Music,201,Short,18400737,249874,10353,0,3,5,5,1,0,81,1,1,0,0,0,0,0,0,3,0,0,0
米津玄師  - POP SONG, Music,238,Short,18119703,317137,19424,0,15,0,0,0,1,0,0,0,0,1,0,82,0,1,0,0,0,0
"Christina Aguilera, Ozuna - Santo (Official Video)", Music,194,Short,17651094,217448,15056,0,17,18,1,0,55,2,0,5,0,0,0,0,0,0,0,0,0,0
"Sofia Reyes , @Maria Becerra Music - Marte [Official Music Video]", Music,222,Short,17808685,264726,13269,0,0,18,1,3,64,0,1,12,0,0,0,0,0,0,0,0,0,0
¡Las Mejores Canciones de La Vaca Lola! - La Granja de Zenón | El Reino Infantil, Music,1065,Medium,16831588,56773,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alesso, Katy Perry - When I'm Gone (Official Music Video)", Music,177,Short,15449358,450569,61188,0,55,8,4,4,16,0,2,4,1,0,0,0,0,0,0,1,0,0
TAEYEON 태연 'INVU' MV, Music,218,Short,14282336,787241,38191,0,32,33,2,1,2,1,1,3,0,0,0,0,0,3,0,0,0,0
Ojos Rojos - Nicky Jam | Video Oficial, Music,157,Short,13410070,141222,4169,0,9,4,3,2,64,4,5,7,2,0,0,0,0,0,0,0,0,0
Kim Loaiza - INCONDICIONAL ft JD Pantoja (Video Oficial), Music,156,Short,13047302,1094761,68346,0,2,8,3,1,78,1,0,3,2,0,0,0,0,0,0,0,0,0
The Chainsmokers - High (Official Video), Music,197,Short,12914205,239020,10283,0,83,5,1,0,1,3,1,2,2,0,0,1,0,0,0,0,0,0
Chris Brown - Iffy (Official Video), Music,191,Short,12562929,342179,20103,0,76,7,3,1,0,0,1,4,3,0,0,0,0,0,0,0,0,0
Sebastián Yatra - Amor Pasajero (Official Video), Music,163,Short,12057344,244358,7661,0,5,6,1,0,78,3,2,4,1,0,0,0,0,0,0,0,0,0
Romeo Santos - Sus Huellas (Official Video), Music,267,Medium,11861864,318070,9305,0,8,10,2,1,67,3,0,3,1,0,0,0,0,0,0,0,0,0
Ricky Martin - Otra Noche en L.A. (Official Video), Music,225,Short,11296843,71998,4235,0,10,6,0,0,71,5,1,5,1,0,0,0,0,0,1,0,0,0
TAEYEON 태연 'Can't Control Myself' MV, Music,206,Short,10908691,541193,20486,0,46,8,2,1,4,0,2,2,1,0,0,0,0,22,0,0,0,0
Sebastián Yatra - Melancólicos Anónimos (Official Video), Music,202,Short,10870054,269842,7545,0,2,9,9,0,73,2,0,3,1,0,0,0,0,0,0,0,0,0
[STATION : NCT LAB] MARK 마크 'Child' MV, Music,218,Short,9883894,1084038,74658,0,58,10,1,1,3,2,9,0,3,0,0,0,0,7,1,0,0,0
"태연(TAEYEON)의 킬링보이스를 라이브로! - I,그대라는 시,만약에,11:11,Blue,Time Lapse,Weekend,불티,사계,Gravity,INVU,너를 그리는 시간", Music,1387,Long,9688922,467700,33165,0,28,4,4,0,1,0,2,1,1,0,0,0,0,59,0,0,0,0
[MV] 문별 (Moon Byul) - LUNATIC, Music,242,Medium,9424728,284058,25749,0,51,6,6,0,14,1,4,8,3,0,0,1,0,3,0,0,0,0
